line_no,p,B_size,B,trace_depth,state_label,span,i,j,initial_E,initial_P,initial_L,status,escape_depth,path,final_E,final_P,final_L,final_phi,nodes,best_phi,best_depth
7168,31,6,1 9 10 26 27 29,2,after_1,9,1,10,1,1,9,escaped,1,"(9,1,10)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7170,31,6,1 9 10 19 26 29,3,after_2,16,5,21,1,1,16,escaped,1,"(4,1,5)",1,1,11,"(1, 1, 11)",1,"(1, 1, 11)",1
7172,31,6,1 3 9 10 16 29,2,after_1,18,1,19,1,1,18,escaped,1,"(0,1,1)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7175,31,6,1 3 10 16 19 29,2,after_1,3,8,11,1,1,3,escaped,1,"(7,1,8)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7177,31,6,1 10 16 19 27 29,2,after_1,3,9,12,1,1,3,escaped,1,"(10,1,7)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7180,31,6,1 10 16 26 27 29,2,after_1,15,2,17,1,1,15,escaped,1,"(1,1,2)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7184,31,6,1 9 10 17 27 29,2,after_1,8,8,16,1,1,8,escaped,1,"(6,1,8)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
7187,31,6,1 10 17 19 27 29,2,after_1,6,6,12,1,1,6,escaped,1,"(4,1,6)",1,1,5,"(1, 1, 5)",1,"(1, 1, 5)",1
7188,31,6,1 3 10 17 26 29,2,after_1,12,1,13,1,1,12,escaped,1,"(0,1,1)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7190,31,6,1 10 17 26 27 29,2,after_1,16,3,19,1,1,16,escaped,1,"(2,1,3)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7192,31,6,1 3 10 16 17 29,2,after_1,16,8,24,1,1,16,escaped,1,"(6,1,8)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
7194,31,6,1 10 16 17 27 29,2,after_1,11,6,17,1,1,11,escaped,1,"(5,1,6)",1,1,8,"(1, 1, 8)",1,"(1, 1, 8)",1
