line_no,p,B_size,B,trace_depth,state_label,span,i,j,initial_E,initial_P,initial_L,status,escape_depth,path,final_E,final_P,final_L,final_phi,nodes,best_phi,best_depth
1,29,3,1 2 4,3,after_2,9,5,14,1,1,9,escaped,1,"(4,1,5)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
2,29,3,1 2 8,3,after_2,11,9,20,1,1,11,escaped,1,"(19,1,20)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
3,29,3,1 4 8,2,after_1,5,2,7,1,1,5,escaped,1,"(1,1,2)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
4,29,3,1 2 16,3,after_2,3,6,9,1,1,3,escaped,1,"(8,1,9)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
5,29,3,1 4 16,3,after_2,24,1,25,1,1,24,escaped,1,"(0,1,1)",1,1,15,"(1, 1, 15)",1,"(1, 1, 15)",1
8,29,3,1 3 4,2,after_1,9,1,10,1,1,9,escaped,1,"(9,1,10)",1,1,4,"(1, 1, 4)",1,"(1, 1, 4)",1
9,29,3,1 3 8,2,after_1,7,3,10,1,1,7,escaped,1,"(5,1,1)",1,1,6,"(1, 1, 6)",1,"(1, 1, 6)",1
10,29,3,1 3 16,3,after_2,7,6,13,1,1,7,escaped,1,"(5,1,6)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
14,29,3,1 6 16,3,after_2,5,2,7,1,1,5,escaped,1,"(1,1,2)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
16,29,3,1 2 12,3,after_2,8,17,25,1,1,8,escaped,1,"(16,1,17)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
19,29,3,1 12 16,3,after_2,15,7,22,1,1,15,escaped,1,"(4,1,7)",1,1,10,"(1, 1, 10)",1,"(1, 1, 10)",1
21,29,3,1 6 12,2,after_1,8,1,9,1,1,8,escaped,1,"(7,1,9)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
23,29,3,1 4 24,3,after_1,20,3,23,1,1,20,escaped,1,"(1,1,3)",1,1,13,"(1, 1, 13)",1,"(1, 1, 13)",1
23,29,3,1 4 24,3,after_2,20,3,23,1,1,20,escaped,1,"(1,1,3)",1,1,9,"(1, 1, 9)",1,"(1, 1, 9)",1
24,29,3,1 8 24,3,after_1,17,7,24,1,1,17,escaped,1,"(6,1,7)",1,1,8,"(1, 1, 8)",1,"(1, 1, 8)",1
24,29,3,1 8 24,3,after_2,6,2,8,1,1,6,escaped,2,"(1,1,2);(3,1,1)",1,1,3,"(1, 1, 3)",2,"(1, 1, 3)",2
26,29,3,1 3 24,2,after_1,20,3,23,1,1,20,escaped,1,"(0,1,3)",1,1,16,"(1, 1, 16)",1,"(1, 1, 16)",1
29,29,3,1 2 19,3,after_2,11,7,18,1,1,11,escaped,1,"(6,1,7)",1,1,9,"(1, 1, 9)",1,"(1, 1, 9)",1
30,29,3,1 4 19,3,after_2,5,2,7,1,1,5,escaped,1,"(0,2,2)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
33,29,3,1 3 19,3,after_2,10,8,18,1,1,10,escaped,1,"(6,1,8)",1,1,9,"(1, 1, 9)",1,"(1, 1, 9)",1
34,29,3,1 6 19,2,after_1,11,2,13,1,1,11,escaped,1,"(1,1,2)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
35,29,3,1 12 19,3,after_2,12,13,25,1,1,12,escaped,1,"(11,1,13)",1,1,6,"(1, 1, 6)",1,"(1, 1, 6)",1
36,29,3,1 19 24,3,after_2,7,8,15,1,1,7,escaped,1,"(7,1,8)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
37,29,3,1 2 9,3,after_2,6,8,14,1,1,6,escaped,1,"(7,1,8)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
38,29,3,1 4 9,3,after_2,4,6,10,1,1,4,escaped,1,"(5,1,6)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
39,29,3,1 8 9,3,after_2,4,6,10,1,1,4,escaped,1,"(5,1,6)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
40,29,3,1 9 16,3,after_2,7,17,24,1,1,7,escaped,1,"(15,1,17)",1,1,6,"(1, 1, 6)",1,"(1, 1, 6)",1
41,29,3,1 3 9,3,after_2,5,14,19,1,1,5,escaped,1,"(18,1,19)",1,1,4,"(1, 1, 4)",1,"(1, 1, 4)",1
