line_no,p,B_size,B,trace_depth,state_label,span,i,j,initial_E,initial_P,initial_L,status,escape_depth,path,final_E,final_P,final_L,final_phi,nodes,best_phi,best_depth
43,29,3,1 9 12,3,after_2,12,5,17,1,1,12,escaped,1,"(4,1,5)",1,1,10,"(1, 1, 10)",1,"(1, 1, 10)",1
47,29,3,1 4 18,3,after_2,2,3,5,1,1,2,escaped,1,"(1,3,4)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
48,29,3,1 8 18,3,after_2,2,3,5,1,1,2,escaped,1,"(1,3,4)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
50,29,3,1 3 18,3,after_2,11,10,21,1,1,11,escaped,1,"(9,1,10)",1,1,4,"(1, 1, 4)",1,"(1, 1, 4)",1
51,29,3,1 6 18,3,after_2,5,8,13,1,1,5,escaped,1,"(7,1,8)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
53,29,3,1 18 24,3,after_2,5,12,17,1,1,5,escaped,1,"(10,1,12)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
54,29,3,1 18 19,2,after_1,5,16,21,1,1,5,escaped,1,"(15,1,16)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
55,29,3,1 9 18,3,after_2,6,10,16,1,1,6,escaped,1,"(8,1,10)",1,1,4,"(1, 1, 4)",1,"(1, 1, 4)",1
56,29,3,1 2 7,3,after_2,19,3,22,1,1,19,escaped,1,"(2,1,3)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
57,29,3,1 4 7,2,after_1,8,5,13,1,1,8,escaped,1,"(6,1,4)",1,1,6,"(1, 1, 6)",1,"(1, 1, 6)",1
58,29,3,1 7 8,2,after_1,8,6,14,1,1,8,escaped,1,"(5,1,6)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
59,29,3,1 7 16,3,after_2,16,6,22,1,1,16,escaped,1,"(5,1,6)",1,1,5,"(1, 1, 5)",1,"(1, 1, 5)",1
61,29,3,1 6 7,3,after_2,7,11,18,1,1,7,escaped,1,"(10,1,11)",1,1,2,"(1, 1, 2)",1,"(1, 1, 2)",1
63,29,3,1 7 24,3,after_2,9,15,24,1,1,9,escaped,1,"(23,1,24)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
64,29,3,1 7 19,2,after_1,10,5,15,1,1,10,escaped,1,"(6,1,4)",1,1,7,"(1, 1, 7)",1,"(1, 1, 7)",1
65,29,3,1 7 9,3,after_2,10,7,17,1,1,10,escaped,1,"(4,1,7)",1,1,9,"(1, 1, 9)",1,"(1, 1, 9)",1
68,29,3,1 4 14,2,after_1,19,1,20,1,1,19,escaped,1,"(0,1,24)",1,1,10,"(1, 1, 10)",1,"(1, 1, 10)",1
71,29,3,1 3 14,2,after_1,7,3,10,1,1,7,escaped,1,"(5,1,1)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
73,29,3,1 12 14,2,after_1,22,1,23,1,1,22,escaped,1,"(0,1,1)",1,1,12,"(1, 1, 12)",1,"(1, 1, 12)",1
74,29,3,1 14 24,3,after_2,20,2,22,1,1,20,escaped,1,"(1,1,2)",1,1,13,"(1, 1, 13)",1,"(1, 1, 13)",1
75,29,3,1 14 19,3,after_2,14,9,23,1,1,14,escaped,1,"(7,1,9)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
76,29,3,1 9 14,3,after_2,3,16,19,1,1,3,escaped,1,"(18,1,19)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
77,29,3,1 14 18,2,after_1,5,14,19,1,1,5,escaped,1,"(16,1,19)",1,1,4,"(1, 1, 4)",1,"(1, 1, 4)",1
82,29,3,1 16 28,3,after_2,7,4,11,1,1,7,escaped,1,"(9,1,11)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
84,29,3,1 6 28,3,after_1,10,3,13,1,1,10,escaped,1,"(1,1,3)",1,1,9,"(1, 1, 9)",1,"(1, 1, 9)",1
84,29,3,1 6 28,3,after_2,9,2,11,1,1,9,escaped,1,"(8,1,11)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
86,29,3,1 24 28,2,after_1,7,1,8,1,1,7,escaped,1,"(0,1,1)",1,1,5,"(1, 1, 5)",1,"(1, 1, 5)",1
87,29,3,1 19 28,3,after_2,5,9,14,1,1,5,escaped,1,"(12,1,14)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
89,29,3,1 18 28,3,after_2,16,4,20,1,1,16,escaped,1,"(1,1,4)",1,1,13,"(1, 1, 13)",1,"(1, 1, 13)",1
90,29,3,1 7 28,3,after_2,9,10,19,1,1,9,escaped,1,"(11,1,9)",1,1,5,"(1, 1, 5)",1,"(1, 1, 5)",1
91,29,3,1 14 28,2,after_1,11,7,18,1,1,11,escaped,1,"(6,1,7)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
92,29,3,1 4 27,2,after_1,11,14,25,1,1,11,escaped,1,"(12,1,14)",1,1,8,"(1, 1, 8)",1,"(1, 1, 8)",1
93,29,3,1 8 27,2,after_1,11,14,25,1,1,11,escaped,1,"(12,1,14)",1,1,8,"(1, 1, 8)",1,"(1, 1, 8)",1
94,29,3,1 16 27,2,after_1,18,7,25,1,1,18,escaped,1,"(6,1,7)",1,1,6,"(1, 1, 6)",1,"(1, 1, 6)",1
95,29,3,1 3 27,3,after_2,11,14,25,1,1,11,escaped,1,"(13,1,14)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
96,29,3,1 6 27,3,after_2,13,2,15,1,1,13,escaped,1,"(1,1,2)",1,1,4,"(1, 1, 4)",1,"(1, 1, 4)",1
99,29,3,1 19 27,3,after_2,16,6,22,1,1,16,escaped,1,"(2,1,6)",1,1,12,"(1, 1, 12)",1,"(1, 1, 12)",1
100,29,3,1 9 27,3,after_2,8,6,14,1,1,8,escaped,1,"(13,1,14)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
101,29,3,1 18 27,3,after_2,8,14,22,1,1,8,escaped,1,"(13,1,14)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
102,29,3,1 7 27,2,after_1,8,7,15,1,1,8,escaped,1,"(6,1,7)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
104,29,3,1 3 25,2,after_1,20,3,23,1,1,20,escaped,1,"(0,1,3)",1,1,16,"(1, 1, 16)",1,"(1, 1, 16)",1
106,29,3,1 12 25,2,after_1,14,1,15,1,1,14,escaped,1,"(13,1,15)",1,1,4,"(1, 1, 4)",1,"(1, 1, 4)",1
108,29,3,1 19 25,3,after_2,16,7,23,1,1,16,escaped,1,"(3,1,7)",1,1,12,"(1, 1, 12)",1,"(1, 1, 12)",1
109,29,3,1 9 25,3,after_2,4,7,11,1,1,4,escaped,1,"(6,1,7)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
110,29,3,1 18 25,3,after_2,6,8,14,1,1,6,escaped,1,"(13,1,14)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
112,29,3,1 12 21,3,after_2,9,7,16,1,1,9,escaped,1,"(6,1,7)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
113,29,3,1 21 24,3,after_2,9,15,24,1,1,9,escaped,1,"(23,1,24)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
114,29,3,1 19 21,3,after_1,9,4,13,1,1,9,escaped,1,"(5,1,3)",1,1,6,"(1, 1, 6)",1,"(1, 1, 6)",1
114,29,3,1 19 21,3,after_2,3,13,16,1,1,3,escaped,1,"(17,1,14)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
116,29,3,1 13 24,3,after_2,12,1,13,1,1,12,escaped,1,"(0,1,1)",1,1,9,"(1, 1, 9)",1,"(1, 1, 9)",1
117,29,3,1 13 19,3,after_2,5,12,17,1,1,5,escaped,1,"(16,1,17)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
119,29,4,1 2 4 16,3,after_2,3,5,8,1,1,3,escaped,1,"(7,1,8)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
120,29,4,1 2 8 16,3,after_2,3,5,8,1,1,3,escaped,1,"(7,1,8)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
125,29,4,1 2 3 16,3,after_2,14,8,22,1,1,14,escaped,1,"(5,1,8)",1,1,6,"(1, 1, 6)",1,"(1, 1, 6)",1
126,29,4,1 3 4 16,3,after_2,7,16,23,1,1,7,escaped,2,"(15,1,16);(4,1,8)",1,1,4,"(1, 1, 4)",4,"(1, 1, 4)",2
127,29,4,1 3 8 16,3,after_2,7,16,23,1,1,7,escaped,2,"(15,1,16);(4,1,8)",1,1,4,"(1, 1, 4)",4,"(1, 1, 4)",2
130,29,4,1 4 6 8,2,after_1,7,9,16,1,1,7,escaped,1,"(6,1,9)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
131,29,4,1 2 6 16,3,after_2,5,2,7,1,1,5,escaped,1,"(1,1,2)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
133,29,4,1 6 8 16,3,after_2,11,1,12,1,1,11,escaped,1,"(0,1,1)",1,1,8,"(1, 1, 8)",1,"(1, 1, 8)",1
134,29,4,1 2 3 6,3,after_2,17,1,18,1,1,17,escaped,1,"(0,1,1)",1,1,6,"(1, 1, 6)",1,"(1, 1, 6)",1
135,29,4,1 3 4 6,2,after_1,5,12,17,1,1,5,escaped,1,"(15,1,17)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
141,29,4,1 2 12 16,3,after_2,11,1,12,1,1,11,escaped,1,"(0,1,1)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
142,29,4,1 4 12 16,2,after_1,14,2,16,1,1,14,escaped,1,"(0,1,2)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
144,29,4,1 2 3 12,2,after_1,6,6,12,1,1,6,escaped,1,"(5,1,6)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
147,29,4,1 3 12 16,3,after_2,18,1,19,1,1,18,escaped,1,"(0,1,1)",1,1,7,"(1, 1, 7)",1,"(1, 1, 7)",1
152,29,4,1 3 6 12,3,after_2,10,4,14,1,1,10,escaped,1,"(6,1,3)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
160,29,4,1 3 4 24,2,after_1,10,8,18,1,1,10,escaped,1,"(6,1,8)",1,1,2,"(1, 1, 2)",1,"(1, 1, 2)",1
161,29,4,1 3 8 24,2,after_1,10,8,18,1,1,10,escaped,1,"(6,1,8)",1,1,2,"(1, 1, 2)",1,"(1, 1, 2)",1
166,29,4,1 6 16 24,2,after_1,5,1,6,1,1,5,escaped,1,"(0,1,1)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
168,29,4,1 2 12 24,3,after_2,17,1,18,1,1,17,escaped,1,"(0,1,1)",1,1,11,"(1, 1, 11)",1,"(1, 1, 11)",1
169,29,4,1 4 12 24,2,after_1,19,4,23,1,1,19,escaped,1,"(1,1,4)",1,1,5,"(1, 1, 5)",1,"(1, 1, 5)",1
170,29,4,1 8 12 24,2,after_1,19,4,23,1,1,19,escaped,1,"(1,1,21)",1,1,6,"(1, 1, 6)",1,"(1, 1, 6)",1
176,29,4,1 4 8 19,3,after_2,12,1,13,1,1,12,escaped,1,"(0,1,1)",1,1,10,"(1, 1, 10)",1,"(1, 1, 10)",1
180,29,4,1 2 3 19,3,after_2,22,1,23,1,1,22,escaped,1,"(1,1,23)",1,1,2,"(1, 1, 2)",1,"(1, 1, 2)",1
181,29,4,1 3 4 19,3,after_2,13,7,20,1,1,13,escaped,1,"(5,1,7)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
183,29,4,1 3 16 19,3,after_2,15,6,21,1,1,15,escaped,1,"(5,1,6)",1,1,4,"(1, 1, 4)",1,"(1, 1, 4)",1
184,29,4,1 2 6 19,3,after_2,8,16,24,1,1,8,escaped,1,"(15,1,16)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
185,29,4,1 4 6 19,2,after_1,11,1,12,1,1,11,escaped,1,"(9,1,12)",1,1,6,"(1, 1, 6)",1,"(1, 1, 6)",1
186,29,4,1 6 8 19,2,after_1,11,1,12,1,1,11,escaped,1,"(0,1,1)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
189,29,4,1 2 12 19,3,after_2,8,16,24,1,1,8,escaped,1,"(14,1,16)",1,1,5,"(1, 1, 5)",1,"(1, 1, 5)",1
192,29,4,1 12 16 19,2,after_1,9,5,14,1,1,9,escaped,1,"(4,1,5)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
195,29,4,1 2 19 24,3,after_2,7,4,11,1,1,7,escaped,1,"(3,1,4)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
197,29,4,1 8 19 24,3,after_2,7,2,9,1,1,7,escaped,1,"(14,1,7)",1,1,6,"(1, 1, 6)",1,"(1, 1, 6)",1
198,29,4,1 16 19 24,2,after_1,13,11,24,1,1,13,escaped,1,"(10,1,11)",1,1,9,"(1, 1, 9)",1,"(1, 1, 9)",1
199,29,4,1 3 19 24,2,after_1,13,9,22,1,1,13,escaped,1,"(7,1,9)",1,1,2,"(1, 1, 2)",1,"(1, 1, 2)",1
200,29,4,1 6 19 24,3,after_2,10,11,21,1,1,10,escaped,1,"(5,1,15)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
201,29,4,1 12 19 24,3,after_1,14,6,20,1,1,14,escaped,1,"(5,1,6)",1,1,10,"(1, 1, 10)",1,"(1, 1, 10)",1
201,29,4,1 12 19 24,3,after_2,10,6,16,1,1,10,escaped,1,"(11,1,21)",1,1,9,"(1, 1, 9)",1,"(1, 1, 9)",1
202,29,4,1 2 4 9,2,after_1,6,8,14,1,1,6,escaped,1,"(7,1,8)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
203,29,4,1 2 8 9,2,after_1,6,8,14,1,1,6,escaped,1,"(7,1,8)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
209,29,4,1 3 4 9,2,after_1,6,8,14,1,1,6,escaped,1,"(6,1,8)",1,1,4,"(1, 1, 4)",1,"(1, 1, 4)",1
210,29,4,1 3 8 9,2,after_1,6,8,14,1,1,6,escaped,1,"(6,1,8)",1,1,4,"(1, 1, 4)",1,"(1, 1, 4)",1
220,29,4,1 9 12 16,2,after_1,7,16,23,1,1,7,escaped,1,"(15,1,16)",1,1,4,"(1, 1, 4)",1,"(1, 1, 4)",1
222,29,4,1 6 9 12,3,after_2,12,4,16,1,1,12,escaped,1,"(3,1,4)",1,1,10,"(1, 1, 10)",1,"(1, 1, 10)",1
227,29,4,1 3 9 24,2,after_1,20,3,23,1,1,20,escaped,1,"(0,1,21)",1,1,5,"(1, 1, 5)",1,"(1, 1, 5)",1
229,29,4,1 9 12 24,3,after_2,17,6,23,1,1,17,escaped,1,"(3,1,6)",1,1,9,"(1, 1, 9)",1,"(1, 1, 9)",1
230,29,4,1 2 9 19,2,after_1,11,6,17,1,1,11,escaped,1,"(5,1,6)",1,1,9,"(1, 1, 9)",1,"(1, 1, 9)",1
238,29,4,1 2 4 18,3,after_2,7,3,10,1,1,7,escaped,1,"(12,1,9)",1,1,4,"(1, 1, 4)",1,"(1, 1, 4)",1
239,29,4,1 2 8 18,3,after_2,15,3,18,1,1,15,escaped,1,"(1,1,3)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
240,29,4,1 4 8 18,3,after_2,9,10,19,1,1,9,escaped,1,"(9,1,10)",1,1,7,"(1, 1, 7)",1,"(1, 1, 7)",1
241,29,4,1 2 16 18,3,after_2,13,5,18,1,1,13,escaped,1,"(4,1,5)",1,1,11,"(1, 1, 11)",1,"(1, 1, 11)",1
248,29,4,1 2 6 18,3,after_2,5,13,18,1,1,5,escaped,1,"(12,1,13)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
252,29,4,1 3 6 18,3,after_2,6,12,18,1,1,6,escaped,1,"(9,1,12)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
253,29,4,1 2 12 18,3,after_2,5,13,18,1,1,5,escaped,1,"(12,1,13)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
254,29,4,1 4 12 18,2,after_1,16,5,21,1,1,16,escaped,1,"(1,1,5)",1,1,11,"(1, 1, 11)",1,"(1, 1, 11)",1
256,29,4,1 12 16 18,3,after_2,5,16,21,1,1,5,escaped,1,"(15,1,16)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
259,29,4,1 2 18 24,3,after_2,5,9,14,1,1,5,escaped,1,"(13,1,14)",1,1,4,"(1, 1, 4)",1,"(1, 1, 4)",1
260,29,4,1 4 18 24,2,after_1,8,13,21,1,1,8,escaped,1,"(18,1,21)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
261,29,4,1 8 18 24,2,after_1,8,13,21,1,1,8,escaped,1,"(18,1,21)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
262,29,4,1 16 18 24,2,after_1,13,1,14,1,1,13,escaped,1,"(3,1,0)",1,1,6,"(1, 1, 6)",1,"(1, 1, 6)",1
263,29,4,1 3 18 24,3,after_2,5,15,20,1,1,5,escaped,1,"(17,2,14)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
265,29,4,1 12 18 24,2,after_1,16,6,22,1,1,16,escaped,1,"(3,1,6)",1,1,5,"(1, 1, 5)",1,"(1, 1, 5)",1
267,29,4,1 4 18 19,2,after_1,5,15,20,1,1,5,escaped,1,"(19,1,20)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
268,29,4,1 8 18 19,2,after_1,5,15,20,1,1,5,escaped,1,"(19,1,20)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
270,29,4,1 3 18 19,2,after_1,15,3,18,1,1,15,escaped,1,"(2,1,3)",1,1,2,"(1, 1, 2)",1,"(1, 1, 2)",1
272,29,4,1 12 18 19,3,after_2,12,6,18,1,1,12,escaped,1,"(8,1,5)",1,1,10,"(1, 1, 10)",1,"(1, 1, 10)",1
274,29,4,1 2 9 18,3,after_2,6,7,13,1,1,6,escaped,1,"(6,1,7)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
275,29,4,1 4 9 18,3,after_2,20,1,21,1,1,20,escaped,1,"(0,1,1)",1,1,10,"(1, 1, 10)",1,"(1, 1, 10)",1
276,29,4,1 8 9 18,3,after_2,6,9,15,1,1,6,escaped,1,"(8,1,9)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
278,29,4,1 3 9 18,3,after_2,5,18,23,1,1,5,escaped,1,"(17,1,18)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
279,29,4,1 6 9 18,3,after_2,6,9,15,1,1,6,escaped,1,"(14,1,15)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
280,29,4,1 9 12 18,3,after_2,4,12,16,1,1,4,escaped,1,"(11,1,12)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
283,29,4,1 2 4 7,3,after_2,3,7,10,1,1,3,escaped,1,"(6,1,7)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
284,29,4,1 2 7 8,3,after_2,3,5,8,1,1,3,escaped,1,"(4,1,5)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
285,29,4,1 4 7 8,2,after_1,8,5,13,1,1,8,escaped,1,"(4,1,5)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
286,29,4,1 2 7 16,3,after_2,7,5,12,1,1,7,escaped,1,"(3,1,5)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
292,29,4,1 3 7 16,3,after_2,17,7,24,1,1,17,escaped,1,"(3,1,7)",1,1,15,"(1, 1, 15)",1,"(1, 1, 15)",1
293,29,4,1 2 6 7,2,after_1,11,12,23,1,1,11,escaped,1,"(10,1,12)",1,1,7,"(1, 1, 7)",1,"(1, 1, 7)",1
294,29,4,1 4 6 7,2,after_1,8,5,13,1,1,8,escaped,1,"(4,1,5)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
295,29,4,1 6 7 8,2,after_1,8,4,12,1,1,8,escaped,1,"(2,1,4)",1,1,5,"(1, 1, 5)",1,"(1, 1, 5)",1
296,29,4,1 6 7 16,2,after_1,11,7,18,1,1,11,escaped,1,"(6,1,7)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
302,29,4,1 3 7 12,3,after_2,20,2,22,1,1,20,escaped,1,"(1,1,2)",1,1,7,"(1, 1, 7)",1,"(1, 1, 7)",1
303,29,4,1 6 7 12,2,after_1,11,2,13,1,1,11,escaped,1,"(1,1,2)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
309,29,4,1 6 7 24,2,after_1,8,13,21,1,1,8,escaped,1,"(12,1,13)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
310,29,4,1 7 12 24,3,after_2,7,3,10,1,1,7,escaped,1,"(2,1,3)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
311,29,4,1 2 7 19,2,after_1,19,3,22,1,1,19,escaped,1,"(2,1,3)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
312,29,4,1 4 7 19,2,after_1,11,10,21,1,1,11,escaped,1,"(9,1,10)",1,1,9,"(1, 1, 9)",1,"(1, 1, 9)",1
313,29,4,1 7 8 19,2,after_1,11,10,21,1,1,11,escaped,1,"(9,1,10)",1,1,9,"(1, 1, 9)",1,"(1, 1, 9)",1
316,29,4,1 6 7 19,2,after_1,11,2,13,1,1,11,escaped,1,"(1,1,2)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
318,29,4,1 7 19 24,2,after_1,15,3,18,1,1,15,escaped,1,"(0,1,3)",1,1,6,"(1, 1, 6)",1,"(1, 1, 6)",1
320,29,4,1 4 7 9,2,after_1,10,7,17,1,1,10,escaped,1,"(4,1,7)",1,1,9,"(1, 1, 9)",1,"(1, 1, 9)",1
321,29,4,1 7 8 9,3,after_2,10,6,16,1,1,10,escaped,1,"(3,1,6)",1,1,9,"(1, 1, 9)",1,"(1, 1, 9)",1
322,29,4,1 7 9 16,3,after_2,7,16,23,1,1,7,escaped,1,"(15,1,16)",1,1,4,"(1, 1, 4)",1,"(1, 1, 4)",1
324,29,4,1 6 7 9,3,after_2,5,8,13,1,1,5,escaped,1,"(12,2,15)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
325,29,4,1 7 9 12,2,after_1,7,6,13,1,1,7,escaped,1,"(5,1,6)",1,1,6,"(1, 1, 6)",1,"(1, 1, 6)",1
327,29,4,1 7 9 19,2,after_1,7,6,13,1,1,7,escaped,1,"(4,1,6)",1,1,5,"(1, 1, 5)",1,"(1, 1, 5)",1
328,29,4,1 2 7 18,3,after_2,3,5,8,1,1,3,escaped,1,"(4,1,5)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
331,29,4,1 7 16 18,2,after_1,6,14,20,1,1,6,escaped,1,"(11,1,14)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
